District.Id;3LC;City;Routes (Booking API & Tariff Search API);isCity;COD;COUNTRY
JTG554;PTI;PATI;WEDARIJAKSA, PATI;No;Yes;INDONESIA
MLU94;TTE;TERNATE;WEDA UTARA, HALMAHERA TENGAH;No;No;INDONESIA
TTECONS791;TTE;TERNATE;WEDA TIMUR, HALMAHERA TENGAH;No;No;INDONESIA
MLU93;TTE;TERNATE;WEDA TENGAH, HALMAHERA TENGAH;No;No;INDONESIA
MLU92;TTE;TERNATE;WEDA SELATAN, HALMAHERA TENGAH;No;No;INDONESIA
MLU91;TTE;TERNATE;WEDA, HALMAHERA TENGAH;No;No;INDONESIA
PAP308;DJJ;JAYAPURA;WEB, KEEROM;No;No;INDONESIA
PBR163;SOQ;SORONG;WAYER, SORONG SELATAN;No;No;INDONESIA
LPG224;TKG;LAMPUNG;WAY TUBA, WAY KANAN;No;No;INDONESIA
LPG223;TKG;LAMPUNG;WAY TENONG, LAMPUNG BARAT;No;Yes;INDONESIA
RJSSA17;RJS;LAMPUNG SELATAN;WAY SULAN, LAMPUNG SELATAN;No;No;INDONESIA
LPG221;TBW;TULANG BAWANG;WAY SERDANG, MESUJI;No;Yes;INDONESIA
LPG271;LMT;LAMPUNG TENGAH;WAY SEPUTIH, LAMPUNG TENGAH;No;Yes;INDONESIA
TKSSA605;TKS;PRINGSEWU;WAY RATAI, PESAWARAN;No;Yes;INDONESIA
RJSSA16;RJS;LAMPUNG SELATAN;WAY PANJI, LAMPUNG SELATAN;No;Yes;INDONESIA
LMTSA335;LMT;LAMPUNG TENGAH;WAY PANGUBUAN, LAMPUNG TENGAH;No;Yes;INDONESIA
LPG301;TKS;PRINGSEWU;WAY LIMA, PESAWARAN;No;Yes;INDONESIA
LPG216;TKG;LAMPUNG;WAY KRUI, PESISIR BARAT;No;Yes;INDONESIA
LPG302;TKS;PRINGSEWU;WAY KHILAU, PESAWARAN;No;Yes;INDONESIA
LPG214;TBW;TULANG BAWANG;WAY KENANGA, TULANG BAWANG BARAT;No;Yes;INDONESIA
SUKSA24;SUK;LAMPUNG TIMUR;WAY JEPARA, LAMPUNG TIMUR;No;Yes;INDONESIA
LPG212;TKG;LAMPUNG;WAY HALIM, BANDAR LAMPUNG;No;Yes;INDONESIA
SUKSA23;SUK;LAMPUNG TIMUR;WAY BUNGUR, LAMPUNG TIMUR;No;Yes;INDONESIA
SLR184;KDI;KENDARI;WAWOTOBI, KONAWE;No;No;INDONESIA
KDICONS2221;KDI;KENDARI;WAWONII UTARA, KONAWE KEPULAUAN;No;No;INDONESIA
KDICONS2219;KDI;KENDARI;WAWONII TIMUR LAUT, KONAWE KEPULAUAN;No;No;INDONESIA
KDICONS2220;KDI;KENDARI;WAWONII TIMUR, KONAWE KEPULAUAN;No;No;INDONESIA
KDICONS2218;KDI;KENDARI;WAWONII TENGGARA, KONAWE KEPULAUAN;No;No;INDONESIA
KDICONS2217;KDI;KENDARI;WAWONII TENGAH, KONAWE KEPULAUAN;No;No;INDONESIA
KDICONS2216;KDI;KENDARI;WAWONII SELATAN, KONAWE KEPULAUAN;No;No;INDONESIA
KDICONS2215;KDI;KENDARI;WAWONII BARAT, KONAWE KEPULAUAN;No;No;INDONESIA
KDICONS2205;KDI;KENDARI;WAWOLESEA, KONAWE UTARA;No;No;INDONESIA
